Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X -200158  Y -155469
X -195400  Y -135000
X -200500  Y -135000
X -204596  Y -134763
X -191300  Y -131900
X -197200  Y -129100
X -200700  Y -129000
X -203700  Y -126600
X -189000  Y -124300
X -203600  Y -123100
X -196100  Y -120500
X -203500  Y -120400
X -203500  Y -117500
X -189100  Y -116200
X -203400  Y -114300
X -197300  Y -111500
X -203200  Y -111300
X -200200  Y -111300
X -191423  Y -107131
X -196100  Y -107000
X -200600  Y -98700
X -191385  Y -98468
X -191100  Y -94200
X -188200  Y -93200
X -200562  Y -90558
X -188200  Y -90200
X -191000  Y -87800
X -199800  Y -82100
X -190900  Y -81600
X -190000  Y -76400
X -200100  Y -74400
X -204628  Y -74321
X -190000  Y -70900
X -200100  Y -69200
X -204628  Y -69121
X -194600  Y -64100
X -203100  Y -64000
X -198800  Y -64000
X -191500  Y -62700
X -204500  Y -61300
X -189800  Y -59300
X -204325  Y -57772
X -204100  Y -54100
X -189800  Y -51700
X -203700  Y -49200
X -190700  Y -47200
X -200800  Y -45900
X -203500  Y -45900
X -197800  Y -45800
X -194000  Y -45800
X -194400  Y -34600
X -205000  Y -34600
X -205100  Y -29300
X -190400  Y -26655
X -193231  Y -25470
X -188600  Y -25100
X -194100  Y -16000
X -197000  Y -15800
X -203247  Y -9379
X -188600  Y -8500
X -189000  Y -5600
X -196200  Y -4800
X -201497  Y -4566
X -197400  Y 400
X -200700  Y 400
X -203100  Y 700
X -191500  Y 1900
X -203700  Y 4700
X -203600  Y 8500
X -203400  Y 12000
X -190400  Y 13800
X -203100  Y 15700
X -197800  Y 17800
X -201100  Y 18100
X -190700  Y 18900
X -190300  Y 24900
X -203000  Y 24900
X -197100  Y 24900
X -197100  Y 30700
X -203000  Y 30700
X -190300  Y 30700
X -191400  Y 55841
X -187100  Y 56552
X -200800  Y 59100
X -191400  Y 68364
X -200800  Y 73200
X -205860  Y 76154
X -190200  Y 96027
X -175400  Y 122752
X -170400  Y 81500
X -162300  Y 72000
X -173200  Y 59000
X -164200  Y 58100
X -172800  Y 55400
X -166800  Y 55400
X -181100  Y 41400
X -177607  Y 38012
X -165700  Y 34400
X -176200  Y 33600
X -184400  Y 30700
X -177300  Y 29800
X -171000  Y 28300
X -177300  Y 26900
X -184400  Y 24900
X -166600  Y 24800
X -180648  Y 22774
X -162754  Y 20899
X -171500  Y 20100
X -176200  Y 18800
X -184700  Y 18800
X -164900  Y 13600
X -183200  Y 12100
X -171516  Y 11287
X -171516  Y 5316
X -183100  Y 5300
X -177200  Y 5300
X -164800  Y 4500
X -177200  Y -1500
X -183100  Y -1500
X -184900  Y -9300
X -177200  Y -9400
X -167377  Y -12073
X -182700  Y -19500
X -176900  Y -19700
X -167600  Y -22800
X -181300  Y -26800
X -177000  Y -28700
X -186300  Y -28900
X -183100  Y -28999
X -161900  Y -31600
X -167700  Y -31800
X -185200  Y -37400
X -167700  Y -40700
X -162000  Y -40700
X -167800  Y -50000
X -177500  Y -50000
X -183000  Y -52100
X -171694  Y -58226
X -182900  Y -58500
X -163900  Y -59000
X -186400  Y -67800
X -174400  Y -71400
X -162600  Y -71400
X -180300  Y -72100
X -180300  Y -75100
X -162600  Y -76800
X -174400  Y -76800
X -182000  Y -79600
X -174400  Y -82100
X -162600  Y -82100
X -183200  Y -82900
X -183200  Y -85900
X -181100  Y -87800
X -174400  Y -87900
X -162600  Y -87900
X -183000  Y -90200
X -183000  Y -93200
X -180700  Y -94100
X -176443  Y -95029
X -165500  Y -102000
X -164600  Y -108700
X -171750  Y -109352
X -179025  Y -114722
X -183000  Y -117000
X -162900  Y -117000
X -175100  Y -117900
X -167700  Y -117900
X -175200  Y -122200
X -167700  Y -122200
X -183000  Y -123500
X -162900  Y -123500
X -142502  Y -145484
X -140000  Y -142500
X -144883  Y -142475
X -153500  Y -140000
X -146200  Y -132400
X -155417  Y -132256
X -140000  Y -130000
X -139952  Y -126034
X -153400  Y -126000
X -159100  Y -123500
X -140000  Y -120000
X -159420  Y -117009
X -146500  Y -108500
X -157700  Y -108300
X -137200  Y -107800
X -153300  Y -105000
X -143200  Y -102700
X -148300  Y -101500
X -153500  Y -101500
X -159000  Y -100500
X -141400  Y -94500
X -152000  Y -93700
X -156900  Y -91600
X -154100  Y -90000
X -141500  Y -87300
X -153300  Y -87300
X -153300  Y -82200
X -141500  Y -82200
X -141400  Y -76800
X -153200  Y -76800
X -141400  Y -71100
X -153200  Y -71100
X -155400  Y -68600
X -145500  Y -67000
X -157600  Y -66100
X -137100  Y -66000
X -140000  Y -60000
X -160000  Y -60000
X -161500  Y -51500
X -160000  Y -50000
X -139089  Y -48309
X -146352  Y -43584
X -157900  Y -43200
X -152900  Y -39700
X -141527  Y -37726
X -142949  Y -30822
X -152900  Y -30800
X -161800  Y -22800
X -152800  Y -21800
X -143036  Y -21721
X -160000  Y -14800
X -143200  Y -12700
X -159500  Y -9000
X -151510  Y -8777
X -137078  Y -8088
X -152800  Y -6100
X -137082  Y -2070
X -145500  Y -1700
X -140000  Y 0
X -159500  Y 0
X -152800  Y 4600
X -145700  Y 8500
X -139100  Y 8600
X -159154  Y 12714
X -156140  Y 17981
X -138500  Y 20400
X -146400  Y 20500
X -142000  Y 26500
X -156826  Y 26711
X -148266  Y 27780
X -160900  Y 30400
X -152343  Y 31141
X -145278  Y 33035
X -156400  Y 34900
X -145284  Y 37770
X -160512  Y 38956
X -159931  Y 46540
X -161500  Y 51600
X -140100  Y 101700
X -137400  Y 104900
X -141900  Y 109900
X -143100  Y 115100
X -142342  Y 127157
X -144000  Y 128900
X -142302  Y 130595
X -133767  Y 100000
X -128110  Y 89118
X -133693  Y 69695
X -115200  Y 45559
X -117521  Y 37811
X -130120  Y 37770
X -118318  Y 33475
X -130020  Y 33419
X -115668  Y 27938
X -123216  Y 27938
X -133500  Y 26600
X -121278  Y 20460
X -133600  Y 20400
X -135410  Y 16102
X -130000  Y 10000
X -126348  Y 9210
X -117305  Y 9093
X -120700  Y 6400
X -128900  Y 4900
X -128900  Y 0
X -121500  Y -700
X -113100  Y -2000
X -126623  Y -2647
X -126665  Y -8055
X -120986  Y -8083
X -112500  Y -10000
X -136101  Y -16396
X -120900  Y -17100
X -127600  Y -17100
X -115600  Y -17160
X -114300  Y -21600
X -131011  Y -21671
X -119003  Y -23230
X -134553  Y -25332
X -118600  Y -28800
X -131096  Y -30798
X -113200  Y -31400
X -125319  Y -34352
X -120900  Y -34600
X -133673  Y -37780
X -135206  Y -44306
X -130000  Y -50000
X -124526  Y -50554
X -114691  Y -53112
X -130000  Y -60000
X -120000  Y -60000
X -129372  Y -66063
X -113429  Y -66437
X -121700  Y -67600
X -113429  Y -71046
X -129500  Y -71100
X -113100  Y -76000
X -129500  Y -76800
X -129600  Y -82200
X -117900  Y -82200
X -129600  Y -87300
X -127600  Y -91700
X -120000  Y -92500
X -120000  Y -100000
X -133900  Y -100900
X -117366  Y -118000
X -130900  Y -119000
X -120273  Y -124402
X -127783  Y -126119
X -133836  Y -126119
X -133819  Y -129998
X -127868  Y -130034
X -112819  Y -131364
X -121303  Y -132016
X -112775  Y -136194
X -121543  Y -143612
X -130000  Y -150000
X -120000  Y -150000
X -110000  Y -150000
X -100000  Y -150000
X -90000  Y -150000
X -100038  Y -135824
X -87468  Y -135391
X -104247  Y -131973
X -99563  Y -130823
X -90000  Y -130000
X -90542  Y -124818
X -107818  Y -124556
X -99706  Y -124440
X -90000  Y -114000
X -100000  Y -111000
X -90000  Y -109000
X -106180  Y -107735
X -108517  Y -107679
X -110743  Y -107642
X -107256  Y -105565
X -109667  Y -105546
X -106180  Y -103357
X -108499  Y -103339
X -110743  Y -103339
X -90978  Y -100990
X -100333  Y -96981
X -100336  Y -92852
X -110179  Y -87040
X -100221  Y -82388
X -92797  Y -82365
X -108828  Y -82208
X -99950  Y -70946
X -92300  Y -69406
X -101305  Y -66814
X -91237  Y -66340
X -91198  Y -61401
X -101391  Y -60040
X -110000  Y -60000
X -87630  Y -56141
X -100000  Y -50000
X -90000  Y -50000
X -90245  Y -44057
X -98675  Y -43995
X -106223  Y -43013
X -110755  Y -42930
X -108503  Y -42902
X -107196  Y -40956
X -109782  Y -40928
X -100000  Y -40000
X -106307  Y -38843
X -108531  Y -38843
X -110782  Y -38788
X -90152  Y -37921
X -99511  Y -32348
X -107921  Y -31008
X -90000  Y -30000
X -99850  Y -27978
X -93400  Y -26700
X -103625  Y -22521
X -109200  Y -21600
X -100000  Y -21500
X -90000  Y -21500
X -109200  Y -17600
X -100000  Y -17500
X -90000  Y -16500
X -88065  Y -7909
X -89828  Y -3618
X -94175  Y -3618
X -100792  Y -1543
X -95662  Y 5740
X -99400  Y 6300
X -106100  Y 8305
X -110200  Y 8332
X -90885  Y 8637
X -94762  Y 8715
X -97100  Y 13300
X -101472  Y 14399
X -91700  Y 15700
X -94290  Y 15924
X -106387  Y 20056
X -108640  Y 20083
X -110961  Y 20097
X -107520  Y 22634
X -109922  Y 22661
X -92200  Y 24500
X -97200  Y 24500
X -108667  Y 24914
X -106441  Y 24927
X -110961  Y 24941
X -93900  Y 26700
X -103109  Y 27451
X -87239  Y 28733
X -101158  Y 33458
