"/home/san/somecode/librerouter/board/designs/mega_board/LibreRouter_MegaBoard.sch, Wed 11 Mar 2020 09:42:51 PM -03, Eeschema 5.1.5, /home/san/somecode/librerouter/board/designs/mega_board/bom_generator.py, 257"
"Ref","Qnty","Value","Cmp name","Manufacturer","Manufacturer PN","Supplier","Supplier PN","DNP","Footprint","Description"
"2G_WLAN1, 5G_WLAN1, P4_1000, STATUS1, ","4","3mm/GREEN","LED","","","","","","LibreRouter_MegaBoard:LED3MM","Light emitting diode"
"5G_WLAN0, P3_1000, USB_LED1, ","3","3mm/BLUE","LED","","","","","","LibreRouter_MegaBoard:LED3MM","Light emitting diode"
"C1, C8, ","2","10pF","C","Murata Electronics","GCM1555C1H100JA16D","DigiKey","490-10668-6-ND","","LibreRouter_MegaBoard:C0402","Unpolarized capacitor"
"C2, C3, C4, C7, C9, ","5","33pF","C","Murata Electronics","GCM1555C1H330JA16J","DigiKey","490-17750-6-ND","","LibreRouter_MegaBoard:C0402","Unpolarized capacitor"
"C5, C6, C10, C11, C12, C13, C21, C30, C33, C34, C35, C37, C42, C57, C58, C59, C62, C71, C72, C75, C91, C92, C102, C103, C110, C111, C116, C121, C124, C137, ","30","0.1uF, 10V","C","Murata Electronics","GCM155R71A104KA55D","DigiKey","490-16434-6-ND","","LibreRouter_MegaBoard:C0402","Unpolarized capacitor"
"C14, C17, C22, C25, C28, C31, C38, C46, C64, C67, ","10","22uF, 10V","C","Murata Electronics","GRM21BR61A226ME51L","DigiKey","490-10511-6-ND","","LibreRouter_MegaBoard:C0805","Unpolarized capacitor"
"C15, C19, C23, C26, C29, C36, C44, C53, C65, C68, ","10","10uF, 35V","C","Murata Electronics","GRM21BR6YA106ME43L","DigiKey","490-10515-6-ND","","LibreRouter_MegaBoard:C0805","Unpolarized capacitor"
"C16, C24, C32, C45, C66, ","5","2.7nF","C","Murata Electronics","GRM1557U1A272JA01D","DigiKey","490-6275-6-ND","","LibreRouter_MegaBoard:C0402","Unpolarized capacitor"
"C18, C27, C43, ","3","470uF","CP","Nichicon","UCM1A471MCL1GS","DigiKey","493-14524-6-ND","","LibreRouter_MegaBoard:UD-6,3X7,7_NICHICON","Polarized capacitor"
"C20, C39, ","2","47uF, 6.3V","C","Murata Electronics","GRM31CE70J476ME15L","DigiKey","490-9967-6-ND","","LibreRouter_MegaBoard:C1206","Unpolarized capacitor"
"C40, C41, C49, ","3","10nF, 2KV","C","Murata Electronics","GCJ31CR73A103KXJ3L","DigiKey","490-16694-6-ND","","LibreRouter_MegaBoard:C1206","Unpolarized capacitor"
"C54, C56, C60, ","3","10uF, 10V","C","Murata Electronics","GRM188D71A106MA73D","DigiKey","490-7200-6-ND","","LibreRouter_MegaBoard:C0603","Unpolarized capacitor"
"C55, ","1","100uF, 16V","CP","Nichicon","UCL1C101MCL1GS","DigiKey","493-3919-6-ND","","LibreRouter_MegaBoard:UD-6,3X5,8_NICHICON","Polarized capacitor"
"C61, C63, ","2","18pF","C","Murata Electronics","GCM1555C1H180JA16D","DigiKey","490-12650-6-ND","","LibreRouter_MegaBoard:C0402","Unpolarized capacitor"
"C76, ","1","1000uF, 35V","CP","Rubycon","35PX1000MEFC10X20","DigiKey","1189-1745-ND","","LibreRouter_MegaBoard:E3,5-10","Polarized capacitor"
"C90, C100, ","2","0.1uF, 50V","C","Murata Electronics","GRM155R71H104KE14J","DigiKey","490-13342-6-ND","","LibreRouter_MegaBoard:C0402","Unpolarized capacitor"
"C125, C126, ","2","0.01uF","C","Murata Electronics","GRM155R71H103KA88J","DigiKey","490-6351-6-ND","","LibreRouter_MegaBoard:C0402","Unpolarized capacitor"
"C130, ","1","10uF, 10V","C","Murata Electronics","GRM21BR71A106KA73K","DigiKey","490-14381-6-ND","","LibreRouter_MegaBoard:C0805","Unpolarized capacitor"
"C138, C139, C140, C141, C142, C143, C144, C145, ","8","33nF","C","Murata Electronics","GCJ188R71H332KA01D","DigiKey","490-5765-6-ND","","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor"
"D2, ","1","SS14","D_Schottky","ON Semiconductor","SS14","DigiKey","SS14CT-ND","","LibreRouter_MegaBoard:DO214AC","Schottky diode"
"D3, D4, D6, D7, D8, D9, D10, D11, ","8","BS05C","D_TVS","Bincheng Electronics","BV05C","DigiKey","","","LibreRouter_MegaBoard:SOD-323","Bidirectional transient-voltage-suppression diode"
"D5, D12, D15, D17, D18, ","5","ESD7951ST5G","D_TVS","ON Semiconductor","ESD7951ST5G","DigiKey","ESD7951ST5GOSDKR-ND","","LibreRouter_MegaBoard:SOD−923","Bidirectional transient-voltage-suppression diode"
"D13, D14, D26, D27, D28, ","5","MBRS540T3","D_Schottky","ON Semiconductor","MBRS540T3G","DigiKey","MBRS540T3GOSDKR-ND","","LibreRouter_MegaBoard:SMC","Schottky diode"
"D25, ","1","SMBJ40CA","D_TVS","Littelfuse Inc.","SMBJ40CA","DigiKey","SMBJ40CALFDKR-ND","","LibreRouter_MegaBoard:DO-214AA","Bidirectional transient-voltage-suppression diode"
"EARTH1, ","1","M4","Conn_01x04","","","","","","LibreRouter_MegaBoard:M4","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
"GPIO1, ","1","Conn_02x13","Conn_02x13_Odd_Even","Würth Elektronik","61302621121","DigiKey","732-5304-ND","","LibreRouter_MegaBoard:2X13","Generic connector, double row, 02x13, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
"J1, ","1","12V_JACK","Barrel_Jack_Switch","CUI Devices","PJ-002A","DigiKey","CP-002A-ND","","LibreRouter_MegaBoard:CUI_PJ-002A_noedge","DC Barrel Jack with an internal switch"
