"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"2G_WLAN";"3mm/GREEN";"LED3MM";"LED3MM";"LED";"";"";"";"";
"5G_WLAN0";"3mm/BLUE";"LED3MM";"LED3MM";"LED";"";"";"";"";
"5G_WLAN1";"3mm/GREEN";"LED3MM";"LED3MM";"LED";"";"";"";"";
"C1";"10pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C2";"33pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C3";"33pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C4";"33pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C5";"0.1u 10v";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C6";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C7";"33pf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C8";"10pf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C9";"33pf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C10";"0.1u 10v";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C11";"0.1u 10v";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C12";"0.1u,10v";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C13";"0.1u,10v";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C14";"22uF,10v";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C15";"10uf,35v";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C16";"2.7nf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C17";"22uF,10v";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C18";"470uF,JLC-C116423";"CPOL-USUD-6,3X7,7";"UD-6,3X7,7_NICHICON";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"C19";"10uf,35v";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C20";"47uF,6.3V";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C21";"0.1u,10v";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C22";"22fu,10v";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C23";"10uf,35v";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C24";"2.7nf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C25";"22uf,10v";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C26";"10uf,35v";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C27";"470uF,JLC-C116423";"CPOL-USUD-6,3X7,7";"UD-6,3X7,7_NICHICON";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"C28";"22uF,10v";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C29";"10uf,35v";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C30";"0.1u,10v";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C31";"22fu,10v";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C32";"2.7nf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C33";"0.1u 10v";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
